#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
44c695de50fd97556e8d69c3c2d69fd3;Maschio;44;assistente sociale;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;36;4;4;1;2;1;2;2;2;2;3;3;4;2;2;3;3;3;2;3;2;2;3;5;3;2;;;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;;;;Mal di schiena;;;;;;;;Affaticamento agli occhi;;;;;;;;4;3;3;4;4;5;2;2;1;2;2;3;4;3;2;3;2;4;3;2;4;3;2;2;1;1;gcrb1950;Con sistema iOS (iPhone);Continua;2019-04-08 19:08:16;2019-04-08 19:23:34;792730ea72
0888de5434032b5ef820959c6e17f0e9;Femmina;26;Consulente bancario;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;42;1;1;1;1;1;1;2;3;1;2;3;3;4;4;3;3;3;3;4;3;3;3;4;3;3;;;Mal di schiena;Sonno disturbato;Eruzione cutanea;;Dolore al torace;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;Mal di schiena;;;;;;;;;;;;;;;Stanchezza o affaticamento;5;3;3;3;3;3;3;3;2;2;4;4;4;3;3;3;3;2;3;3;3;3;3;2;1;2;FDRV1959;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-08 18:52:19;2019-04-08 19:07:16;750b1bbc61
4a1eb5b893fc4f0e8775def4577f8fb8;Femmina;46;Impiegata ufficio pianificazione di produzione;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;Figli;;;35;4;4;3;2;1;2;4;3;3;3;3;2;4;3;4;5;4;4;1;1;1;5;3;1;1;;;Mal di schiena;;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;4;4;3;2;3;3;2;1;2;4;4;1;4;5;3;1;3;2;2;1;1;4;1;1;Gdag1935;Con sistema iOS (iPhone);;2019-04-08 16:41:46;2019-04-08 17:11:08;c32e645572
207b58469851b734f56cd210587dede1;Maschio;23;Amministrazione del Personale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;43;5;5;4;4;3;3;2;2;1;2;1;2;3;2;2;3;2;3;2;1;1;5;3;3;3;Nessun sintomo;;;;;;;;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;5;2;2;3;5;1;1;2;4;5;1;3;5;2;2;3;3;2;1;2;2;1;1;MDSM1967;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-03 22:51:03;2019-04-03 23:05:37;de3a84e021
686530cbf72ed3ca3dc529fa67e2aa95;Femmina;55;COMMERCIALE IN UN'AZIENDA DI RISTORAZIONE E FACILITY;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;;;;Da sola/o;25;2;1;1;4;1;1;2;2;2;2;1;1;4;4;4;4;4;3;1;1;1;5;2;1;1;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;4;4;3;3;4;3;3;3;4;4;2;4;3;3;2;2;3;3;1;2;2;1;1;mrlv1950;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-03 08:04:18;2019-04-03 08:19:26;825509936b
89c78e4576fcaaaa384c3119f1feed32;Femmina;25;Dipartimento di produzione/uff. Acquisti;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;44;4;3;3;2;2;3;3;3;2;2;2;3;3;3;2;3;2;2;3;3;2;4;3;3;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;5;4;4;3;4;3;3;3;3;3;3;2;4;3;3;3;3;3;2;2;3;2;2;GCLL1966;Con sistema iOS (iPhone);Continua;2019-04-02 21:27:50;2019-04-02 21:48:37;e6570f9a70
7c4fa7a57da2c26ee4e1fbcceec0d98d;Maschio;45;Docente universitario;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;55;3;2;4;4;4;4;3;4;4;4;4;4;3;3;3;3;3;2;4;2;2;3;4;2;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;5;4;4;4;5;3;4;2;4;3;4;4;3;3;3;3;3;2;3;3;3;3;2;2;2;BPRC1950;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-04-02 07:57:34;2019-04-02 08:14:39;cdcb48e4a2
120315421d877b3451b18daafa6aafb7;Femmina;40;Impiegata amministrativa presso Rai;Dipendente - livello non dirigenziale;Pubblico;Scuole Superiori;;Genitori;;;;50;3;2;3;4;2;4;3;2;3;4;2;3;4;4;4;4;4;4;3;3;3;4;2;2;3;;;;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;Acidità o bruciore di stomaco;;;;;;;;;4;4;3;4;4;3;2;2;2;1;1;4;4;2;4;4;2;3;4;3;3;1;2;1;2;1;AALB1953;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-31 15:45:57;2019-03-31 16:13:19;da520b43e5
4d8ccbdff3307f0d833405803cde4b02;Femmina;51;Impiegata studio legale;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;20;4;2;3;2;1;1;3;2;1;2;2;1;3;3;2;4;3;4;2;2;1;4;2;1;2;;Mal di stomaco o nausea;;Sonno disturbato;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;Vertigini;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;1;2;3;2;3;2;1;1;1;1;3;4;2;3;3;1;1;2;1;3;1;2;2;2;1;FZRA1936;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-03-30 14:24:00;2019-03-30 16:50:26;f6b148202c
031378417d9db012d81ff96903133dad;Femmina;30;Bancario;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;37;5;1;5;2;4;5;3;3;1;2;4;2;1;2;1;4;2;3;2;3;2;3;3;4;4;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;Respiro affannoso;;;;;Affaticamento agli occhi;;;Costipazione;;;Vertigini;Stanchezza o affaticamento;;Mal di stomaco o nausea;;;;;;;;;;;;;;;;;3;3;2;2;1;1;2;5;4;5;4;1;1;5;1;1;2;1;2;3;2;2;2;2;1;2;Ggpb1962;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-03-27 15:48:09;2019-03-27 16:02:34;6fd3043cc9
ee2b568e37df4f83147398c0f1c2b125;Femmina;42;Impiegata;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;40;4;4;4;3;3;4;3;2;2;2;3;2;2;3;2;3;3;3;2;2;2;4;2;2;2;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2;3;2;1;1;1;1;1;AAIC1947;Con sistema iOS (iPhone);Continua;2019-03-27 07:34:59;2019-03-27 07:52:17;0ff927ae47
96cd62031221b0bba26deeeff81123f9;Femmina;29;Impiegata;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;9;3;1;1;1;2;2;3;5;1;3;3;4;2;2;3;3;3;2;4;4;3;3;3;3;2;;;;;;;;;;;Affaticamento agli occhi;;Crampi allo stomaco;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;5;5;3;4;3;1;3;1;2;4;3;3;3;3;3;3;3;1;2;3;1;3;1;1;SCES1957;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-25 13:13:23;2019-03-26 20:01:40;7858d35c66
abfeb59b12bc0f2a81ed1e958b9c47db;Femmina;25;impiegata;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;40;4;4;2;4;4;2;3;3;1;3;2;3;3;2;2;3;3;3;3;1;2;4;2;3;3;;;;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;4;4;3;3;3;3;3;1;2;3;3;4;3;3;2;2;3;3;2;1;3;2;2;1;MANP1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-26 12:52:09;2019-03-26 12:59:35;1661619613
9187e52a3045f0175ad13d9774c30083;Femmina;24;Impiegata d’ufficio, receptionist;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;41;4;2;3;1;1;3;3;4;1;2;2;2;2;3;3;5;4;3;3;3;2;3;3;3;1;;;;Sonno disturbato;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;5;5;4;5;3;2;2;1;3;4;5;2;3;5;4;2;2;3;2;1;2;3;1;1;MAGV1960;Con sistema iOS (iPhone);Continua;2019-03-25 20:03:31;2019-03-25 20:34:48;53f0d2337b
8d3abda17898a20f301a360d60ee34e8;Femmina;62;redattore;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;24;4;1;4;3;1;4;4;3;1;4;3;4;1;1;1;3;2;1;5;4;4;3;3;5;4;;;;;;;;;;;Affaticamento agli occhi;Diarrea;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;Diarrea;;;;;;;4;5;4;4;4;5;3;3;3;2;2;4;4;2;4;4;4;1;3;3;3;3;3;1;1;2;CVLG1929;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-25 09:00:22;2019-03-25 09:32:31;0e33cd8700
ca41722381b1d29cb8facac2041f7de3;Femmina;44;Impiegata amministrativa;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;44;3;3;3;2;2;4;3;3;3;4;2;3;2;2;2;4;3;3;4;2;2;1;3;4;2;;;;Sonno disturbato;;Respiro affannoso;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;3;4;2;2;2;1;4;2;3;2;4;3;3;4;4;3;3;4;3;4;1;2;RMCS1952;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-24 13:10:14;2019-03-24 13:25:55;b1d93aa10b
297f8e55ce01936e6670f6c3258a8720;Femmina;22;Impiegata settore fiscale;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;Genitori;;;;43;4;3;4;1;1;4;3;5;1;1;1;1;4;4;3;5;5;2;3;2;1;2;3;1;1;;;;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;2;5;2;2;1;2;1;1;1;2;4;1;2;3;2;2;4;3;4;3;2;2;4;1;RCMM1974;Con sistema iOS (iPhone);Continua;2019-03-24 13:04:41;2019-03-24 13:22:50;b1d93aa10b
d8d4a43a95df0ccc3d53bb76dd394a0b;Femmina;28;Impiegata settore fiscale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;42;4;3;4;1;1;4;3;5;3;5;5;1;1;2;2;2;3;1;3;2;2;3;3;3;3;;;;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;4;4;3;3;4;3;4;4;4;3;2;4;3;3;2;1;3;2;2;2;3;2;2;1;AGRB1965;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-03-24 11:23:04;2019-03-24 11:57:53;0ac75030d4
9a98e88e94b283fcf664a041f30768df;Femmina;32;attività editoriale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;38;3;1;3;1;1;3;1;2;1;1;1;3;4;4;3;5;4;3;3;2;2;3;3;2;2;;;Mal di schiena;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;2;4;2;3;1;2;1;1;1;3;5;1;4;4;2;2;4;2;3;2;1;1;2;2;AGRP1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-23 15:56:22;2019-03-23 16:18:16;4ef79c5d05
1ac1bd34a1a7c6b6d58a257482754d76;Femmina;31;payroll assistan -amministrazione del personale-;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;42;5;5;3;5;4;5;1;3;1;2;1;3;2;3;2;4;4;2;3;2;2;3;2;2;1;;;Mal di schiena;;;;;;Febbre;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;4;4;5;1;2;1;4;1;4;4;4;4;4;2;2;2;3;2;1;2;2;1;1;GASG1956;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-23 13:04:55;2019-03-23 13:15:49;46199bb8b1
204562383088d8898ac0ed75cc5545b2;Maschio;29;Responsabile comunicazione digitale e grafica;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;44;5;5;3;2;2;4;3;3;1;1;3;3;4;4;4;4;4;3;3;2;2;3;2;2;2;;Mal di stomaco o nausea;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;4;4;3;2;2;2;2;2;3;4;4;3;4;4;3;3;2;2;3;2;2;2;1;1;BLMM1958;Con sistema iOS (iPhone);Continua;2019-03-21 19:38:51;2019-03-21 19:46:16;6887f765c2
46325887d722f9aad48b114a3cff72d0;Femmina;32;Data scientist;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;39;3;2;3;2;3;3;1;2;1;4;5;2;2;1;1;3;1;3;3;3;2;3;1;5;5;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;Respiro affannoso;;;;;Affaticamento agli occhi;Diarrea;;Costipazione;;Calo di appetito;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;1;2;3;3;3;2;4;4;2;1;1;4;3;2;1;4;2;3;ATEC1963;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-03-21 10:40:38;2019-03-21 10:56:00;da5b160262
0fa71a1834dae10959b938aab633a617;Maschio;23;Impiegato tecnico;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;Genitori;;;;40;4;4;4;4;3;4;4;2;3;3;4;2;3;1;2;3;2;3;2;2;2;4;2;3;3;;;Mal di schiena;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;2;2;3;4;2;2;2;3;4;2;3;3;3;2;1;3;3;3;1;3;2;2;1;FS960214;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-18 12:43:45;2019-03-18 12:54:15;8971f83c57
a613e11006abb1b881522f2a9ac6f746;Maschio;56;Operation manager in una grande centrale elettrica;Dipendente - livello dirigenziale;Privato;Scuole Superiori;;;;;Da sola/o;35;4;4;4;5;3;4;3;2;1;1;2;3;5;4;4;5;5;5;1;1;1;4;3;1;1;;;Mal di schiena;;;;;;;;Affaticamento agli occhi;;;;;;;;;;Mal di schiena;;;;;;;;;;;;;;;;4;4;3;4;3;3;2;4;1;1;1;5;4;2;4;4;2;3;2;3;2;3;2;3;1;1;Reve1933;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-18 12:36:39;2019-03-18 12:47:13;d80be82bee
be79ae935cbbd4993eb23dbce0596aef;Maschio;58;impiegato amministrativo;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;40;4;2;5;3;1;4;1;1;1;1;1;3;5;4;5;5;4;3;1;2;1;5;2;1;1;;;;;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;4;2;2;2;3;3;1;2;2;2;2;2;4;2;3;3;4;3;3;1;3;1;3;CASR1937;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-18 09:03:48;2019-03-18 09:13:26;db01b498a3
e153631327f369c6f949f0264838b257;Femmina;25;Impiegato di pubblica amministrazione;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;Genitori;;;;40;4;1;4;3;4;4;1;1;1;1;1;3;3;4;4;5;5;3;3;1;1;4;1;1;1;;;Mal di schiena;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;1;1;3;4;3;4;1;1;1;1;2;2;3;2;3;4;2;2;1;2;3;3;2;2;3;1;SMMP1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-18 06:21:38;2019-03-18 06:32:48;29f576d471
791c84ac702f3a8fc443e07327431092;Femmina;50;Consulente di orientamento professionale;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;38;3;2;3;2;1;2;4;2;3;4;1;3;4;5;4;5;5;3;3;1;1;4;4;3;4;;;Mal di schiena;;;;;Mal di testa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;5;5;3;3;5;5;1;2;4;3;2;4;4;3;4;2;3;3;2;1;3;2;1;FFCR1933;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-16 16:57:43;2019-03-16 17:20:45;a9190127ae
3c950536d57791b1d1ec60ee2034f810;Maschio;33;tecnico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;45;5;5;4;4;4;4;2;3;1;2;3;3;4;3;3;3;3;2;4;1;2;3;3;1;3;;;;;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;5;5;4;3;2;4;1;4;3;4;4;2;2;2;3;2;4;3;4;2;3;2;1;1;PVCR1961;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-15 15:09:43;2019-03-15 15:21:32;a2b8e9cafc
327dc16ff9090cf2adba072cff746cdd;Femmina;25;"Fotografo
Farmacista";Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;Altri;;40;5;5;5;3;4;5;2;3;1;2;4;4;4;3;4;5;3;3;4;3;2;2;2;3;4;;;Mal di schiena;Sonno disturbato;Eruzione cutanea;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;5;5;4;2;1;1;1;1;1;5;5;1;4;4;4;1;1;4;4;2;3;4;3;2;pdbr1957;Con sistema iOS (iPhone);Continua;2019-03-14 21:12:02;2019-03-14 22:36:43;edcce86c6a
9cfad23c4239bbcd7f9565fd965d6ade;Femmina;22;account manager;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;45;3;3;4;4;4;4;5;2;5;4;2;3;1;2;2;2;2;2;3;3;3;3;2;4;4;;;;;;;;Mal di testa;;;;;;;;;;;;;;;;;Dolore al torace;;;;;;;;;;;;4;4;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;2;4;4;GMPM66;Con sistema iOS (iPhone);Continua;2019-03-14 20:54:36;2019-03-14 20:59:08;05c086cb1a
a89fff1b875e57ae7cda7515243176dc;Maschio;28;Impiegato HR;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;;;;Da sola/o;40;3;3;4;3;4;3;4;3;5;4;3;2;5;4;4;3;4;2;4;5;4;3;4;2;5;;;;Sonno disturbato;;;;;;;;;;;;;;;;;Mal di schiena;;;;;;;;;;;;;;;;4;4;3;4;3;4;3;5;4;3;4;4;4;5;3;4;3;3;2;3;3;2;4;3;3;3;Gspt1958;Con sistema iOS (iPhone);Continua;2019-03-14 20:50:41;2019-03-14 20:55:03;05c086cb1a
3707bea229beea8c9430fbe16cfc231e;Maschio;35;"Project Manager
Program Manager";Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;45;3;4;3;3;3;3;3;3;1;2;2;3;4;4;4;4;4;3;3;2;1;4;3;3;2;;;Mal di schiena;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;3;3;2;3;1;2;2;4;5;1;4;4;4;3;2;3;2;3;3;3;2;2;mtmf1950;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-14 13:49:19;2019-03-14 13:56:10;a2b8e9cafc
65f1f6b371c6d325d327a95b9297477d;Maschio;51;Direttore Generale;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;45;5;5;4;5;3;4;1;3;1;2;2;3;4;4;5;4;4;3;4;3;2;3;3;3;1;;;;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;4;4;2;1;1;1;2;2;5;5;1;5;5;4;2;4;2;3;4;3;4;4;4;AGPP1942;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-03-14 10:07:26;2019-03-14 11:17:02;a2b8e9cafc
